,0
805,"Iraq Crude Oil Production Capacity, Monthly"
806,"Venezuela Crude Oil Production Capacity, Monthly"
807,"U.S. Crude Oil Production, Monthly"
808,"Crude Oil Production, Algeria, Monthly"
809,"Crude Oil Production, Angola, Monthly"
810,"Crude Oil Production, Congo (Brazzaville), Monthly"
811,"Crude Oil Production, Equatorial Guinea, Monthly"
812,"Crude Oil Production, Gabon, Monthly"
813,"Crude Oil Production, Iran, Monthly"
814,"Crude Oil Production, Iraq, Monthly"
815,"Crude Oil Production, Kuwait, Monthly"
816,"Crude Oil Production, Libya, Monthly"
817,"Crude Oil Production, Nigeria, Monthly"
818,"Crude Oil Production, OPEC Total, Monthly"
819,"Crude Oil Production, Saudi Arabia, Monthly"
820,"Crude Oil Production, United Arab Emirates, Monthly"
821,"Crude Oil Production, Venezuela, Monthly"
822,"Retail Sales of Electricity in Industrial Sector, East North Central, Monthly"
823,"Retail Sales of Electricity in Industrial Sector, East South Central, Monthly"
824,"Retail Sales of Electricity in Industrial Sector, Alaska and Hawaii, Monthly"
825,"Retail Sales of Electricity in Industrial Sector, Middle Atlantic, Monthly"
826,"Retail Sales of Electricity in Industrial Sector, Mountain, Monthly"
827,"Retail Sales of Electricity in Industrial Sector, New England, Monthly"
828,"Retail Sales of Electricity in Industrial Sector, Pacific Contiguous, Monthly"
829,"Retail Sales of Electricity in Industrial Sector, South Atlantic, Monthly"
830,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Monthly"
831,"Retail Sales of Electricity in Industrial Sector, West North Central, Monthly"
832,"Retail Sales of Electricity in Industrial Sector, West South Central, Monthly"
833,"Retail Sales of Electricity in Industrial Sector, U.S. Total, Monthly"
834,"Gross Imports of Electricity into the United States, Monthly"
835,"Iraq Spare Crude Oil Production Capacity, Monthly"
836,"Industrial Sector Generation from Conventional Hydroelectric, Quarterly"
837,"Electric Power Sector Consumption of Conventional Hydroelectric Energy, Quarterly"
838,"Net energy for electricity load, Texas (ERCOT), Monthly"
839,"Net energy for electricity load, California, Monthly"
840,"Net energy for electricity load, New England (ISO-NE), Monthly"
841,"Jet Fuel Net Imports, Quarterly"
842,"Jet Fuel Inventory, Quarterly"
843,"Electric power sector net generation from coal, Midwest (Midcontinent ISO), Monthly"
844,"Wholesale Electricity Price, ISO-NE (New England ISO) Internal hub, Monthly"
845,"Wholesale Electricity Price, Southeast index, Southeast Reliability (SERC) Into Southern hub, Monthly"
846,"Wholesale Electricity Price, SPP (Southwest Power Pool ISO) South hub, Monthly"
847,"Electric Power Sector Conventional Hydroelectric Net Summer Capacity, Quarterly"
848,"Electric power sector net generation from conventional hydropower, California, Quarterly"
849,"Electric power sector net generation from conventional hydropower, Florida (FRCC), Quarterly"
850,"Electric power sector net generation from conventional hydropower, Hawaii and Alaska, Quarterly"
851,"Electric power sector net generation from conventional hydropower, Midwest (Midcontinent ISO), Quarterly"
852,"Kuwait Crude Oil Production Capacity, Monthly"
853,"Electric power sector net generation from coal, Southeast (SERC), Monthly"
854,"Total Coal Consumption , Monthly"
855,"Net generation from coal, all sectors, United States, Monthly"
856,"Generation from Coal by All Sectors, Monthly"
857,"Total Coal Supply, Monthly"
858,"Waste Coal Production, Monthly"
859,"Other Industrial Coal Consumption, Monthly"
860,"Retail and Other Industry Coal Consumption, Monthly"
861,"Commercial Sector Total Generation, Monthly"
862,"Refinery Distillation Inputs  , Monthly"
863,"Crude Oil Net Imports, Monthly"
864,"Real Personal Consumption Expenditures, Monthly"
865,"Algeria Crude Oil Production Capacity, Monthly"
866,"Motor Gasoline Product Supplied, Quarterly"
867,"Net energy for electricity load, United States, Monthly"
868,"Algeria Spare Crude Oil Production Capacity, Monthly"
869,"Angola Spare Crude Oil Production Capacity, Monthly"
870,"Kuwait Spare Crude Oil Production Capacity, Monthly"
871,"Libya Spare Crude Oil Production Capacity, Monthly"
872,"Finished Motor Gasoline Refinery Output, Quarterly"
873,"Net Imports of Electricity to the United States, Monthly"
874,"Net International Imports of Electricity into United States, Monthly"
875,"Retail Sales of Electricity in Residential Sector, East North Central, Monthly"
876,"Retail Sales of Electricity in Residential Sector, East South Central, Monthly"
877,"Retail Sales of Electricity in Residential Sector, Alaska and Hawaii, Monthly"
878,"Retail Sales of Electricity in Residential Sector, Middle Atlantic, Monthly"
879,"Retail Sales of Electricity in Residential Sector, Mountain, Monthly"
880,"Retail Sales of Electricity in Residential Sector, New England, Monthly"
881,"Retail Sales of Electricity in Residential Sector, Pacific Contiguous, Monthly"
882,"Retail Sales of Electricity in Residential Sector, South Atlantic, Monthly"
883,"Retail Sales of Electricity in Residential Sector, U.S. Total, Monthly"
884,"Retail Sales of Electricity in Residential Sector, West North Central, Monthly"
885,"Retail Sales of Electricity in Residential Sector, West South Central, Monthly"
886,"Retail Sales of Electricity in Residential Sector, U.S. Total, Monthly"
887,"Total Supply of Electricity in United States, Monthly"
888,"Total Retail Sales of Electricity in All Sectors, East North Central, Monthly"
889,"Total Retail Sales of Electricity in All Sectors, East South Central, Monthly"
890,"Total Retail Sales of Electricity in All Sectors, Alaska and Hawaii, Monthly"
891,"Total Retail Sales of Electricity in All Sectors, Middle Atlantic, Monthly"
892,"Total Retail Sales of Electricity in All Sectors, Mountain, Monthly"
893,"Total Retail Sales of Electricity in All Sectors, New England, Monthly"
894,"Total Retail Sales of Electricity in All Sectors, Pacific Contiguous, Monthly"
895,"Total Retail Sales of Electricity in All Sectors, South Atlantic, Monthly"
896,"Total Retail Sales of Electricity in All Sectors, U.S. Total, Monthly"
897,"Total Retail Sales of Electricity in All Sectors, West North Central, Monthly"
898,"Total Retail Sales of Electricity in All Sectors, West South Central, Monthly"
899,"Total Retail Sales of Electricity in All Sectors, U.S. Total, Monthly"
900,"Electric power sector net generation from coal, New England (ISO-NE), Monthly"
901,"Net energy for electricity load, Florida (FRCC), Monthly"
902,"Net energy for electricity load, Northwest, Monthly"
903,"Jet Fuel Refinery Output, Quarterly"
904,"Jet Fuel Product Supplied, Quarterly"
905,"Libya Crude Oil Production Capacity, Monthly"
906,"Nigeria Crude Oil Production Capacity, Monthly"
907,"OPEC Total Crude Oil Production Capacity, Monthly"
908,"OPEC Middle East Crude Oil Production Capacity, Monthly"
909,"OPEC Other Crude Oil Production Capacity, Monthly"
910,"Wholesale Electricity Price, Northwest index, Mid-Columbia hub, Monthly"
911,"Wholesale Electricity Price, Southwest index, Palo Verde hub, Monthly"
912,"Electric power sector net generation from geothermal, Hawaii and Alaska, Quarterly"
913,"Electric power sector net generation from geothermal, Midwest (Midcontinent ISO), Quarterly"
914,"Electric power sector net generation from geothermal, New England (ISO-NE), Quarterly"
915,"Electric power sector net generation from geothermal, Northwest, Quarterly"
916,"Electric power sector net generation from geothermal, New York (NYISO), Quarterly"
917,"Electric power sector net generation from geothermal, Mid-Atlantic (PJM), Quarterly"
918,"Electric power sector net generation from geothermal, Southeast (SERC), Quarterly"
919,"Electric power sector net generation from coal, Central (SPP ISO), Monthly"
920,"Angola Crude Oil Production Capacity, Monthly"
921,"Electric Power Sector Consumption of Geothermal Energy, Quarterly"
922,"Electric Power Sector Geothermal Net Summer Capacity, Quarterly"
923,"Electric power sector net generation from geothermal, California, Quarterly"
924,"Electric power sector net generation from geothermal, Florida (FRCC), Quarterly"
925,"Wholesale Electricity Price, CAISO (California ISO) SP15 zone, Monthly"
926,"Congo (Brazzaville) Spare Crude Oil Production Capacity, Monthly"
927,"Equatorial Guinea Spare Crude Oil Production Capacity, Monthly"
928,"Nigeria Spare Crude Oil Production Capacity, Monthly"
929,"OPEC Total Spare Crude Oil Production Capacity, Monthly"
930,"OPEC Middle East Surplus Crude Oil Production Capacity, Monthly"
931,"OPEC Other Spare Crude Oil Production Capacity, Monthly"
932,"Crude Oil Production, Saudi Arabia, Quarterly"
933,"Crude Oil Production, United Arab Emirates, Quarterly"
934,"Electric power sector net generation from coal, Northwest, Monthly"
935,"Net energy for electricity load, Hawaii and Alaska, Monthly"
936,"Net energy for electricity load, New York (NYISO), Monthly"
937,"Real Personal Income E. N. Central, Monthly"
938,"Real Personal Income E. S. Central, Monthly"
939,"Real Personal Income Middle Atlantic, Monthly"
940,"Real Personal Income Mountain, Monthly"
941,"Real Personal Income New England, Monthly"
942,"Real Personal Income Pacific, Monthly"
943,"Real Personal Income S. Atlantic, Monthly"
944,"Real Personal Income W. N. Central, Monthly"
945,"Real Personal Income W. S. Central, Monthly"
946,"Heating Oil Retail Price Including Taxes, U.S. Average, Monthly"
947,"Heating oil retail price incl taxes, U.S. average, Monthly"
948,"Heating Oil Retail Price Incl Taxes, U.S. Average, Monthly"
949,"Fuel Oil Consumption, Monthly"
950,"Heating Oil Refiner Wholesale Price, Monthly"
951,"Distillate Fuel Oil Delivers to Power Sector, Monthly"
952,"Distillate Fuel Oil Adjustment, Monthly"
953,"Distillate Fuel Oil Net Imports, Monthly"
954,"Distillate Fuel Oil PADD 1 (East Coast) Inventory, Monthly"
955,"Distillate Fuel Oil PADD 2 (Midwest) Inventory, Monthly"
956,"Distillate Fuel Oil PADD 3 (Gulf Coast) Inventory, Monthly"
957,"Distillate Fuel Oil PADD 4 (Rocky Mountain) Inventory, Monthly"
958,"Distillate Fuel Oil PADD 5 (West Coast) Inventory, Monthly"
959,"Distillate Fuel Oil U.S. Total Inventory, Monthly"
960,"Distillate Fuel Refinery Output, Monthly"
961,"Distillate Fuel Oil Product Supplied, Monthly"
962,"Commercial Sector Generation from Distillate Fuel Oil, Monthly"
963,"Industrial Sector Generation from Distillate Fuel Oil, Monthly"
964,"Saudi Arabia Crude Oil Production Capacity, Monthly"
965,"Wholesale Electricity Price, NYISO (New York ISO) Hudson Valley zone, Monthly"
966,"Wholesale Electricity Price, ERCOT (Texas) ISO North hub, Monthly"
967,"Commercial Employment, Monthly"
968,"Commercial Employment, Monthly"
969,"Non-Farm Employment, Monthly"
970,"Transportation Sector Consumption of Energy from Ethanol, Monthly"
971,"Fuel Ethanol Adjustments, Monthly"
972,"Fuel Ethanol Net Imports, Monthly"
973,"Ethanol Energy Supply, Monthly"
974,"Fuel Ethanol Production, Monthly"
975,"Fuel Ethanol Inventory, Monthly"
976,"Fuel Ethanol Refinery and Blender Net Inputs, Monthly"
977,"Consumption of Energy from Ethanol by All Sectors, Monthly"
978,"Fuel Ethanol Consumption, Monthly"
979,"Ethanol Share of Finished Gasoline Consumption, Monthly"
980,"Electric Power Sector Total Generation, Monthly"
981,"Total Net Generation of Electricity from Large-Scale Power Plants, Electric Power Sector, United States, Monthly"
982,"Retail Price of Electricity in Commercial Sector, U.S. Average, Monthly"
983,"Retail Price of Electricity in Commercial Sector, East North Central, Monthly"
984,"Retail Price of Electricity in Commercial Sector, East South Central, Monthly"
985,"Retail Price of Electricity in Commercial Sector, Alaska and Hawaii, Monthly"
986,"Retail Price of Electricity in Commercial Sector, Middle Atlantic, Monthly"
987,"Retail Price of Electricity in Commercial Sector, Mountain, Monthly"
988,"Retail Price of Electricity in Commercial Sector, New England, Monthly"
989,"Retail Price of Electricity in Commercial Sector, Pacific Contiguous, Monthly"
990,"Retail Price of Electricity in Commercial Sector, South Atlantic, Monthly"
991,"Retail Price of Electricity in Commercial Sector, U.S. Average, Monthly"
992,"Retail Price of Electricity in Commercial Sector, West North Central, Monthly"
993,"Retail Price of Electricity in Commercial Sector, West South Central, Monthly"
994,"Retail Price of Electricity in Industrial Sector, U.S. Average, Monthly"
995,"Retail Price of Electricity in Industrial Sector, East North Central, Monthly"
996,"Retail Price of Electricity in Industrial Sector, East South Central, Monthly"
997,"Retail Price of Electricity in Industrial Sector, Alaska and Hawaii, Monthly"
998,"Retail Price of Electricity in Industrial Sector, Middle Atlantic, Monthly"
999,"Retail Price of Electricity in Industrial Sector, Mountain, Monthly"
1000,"Retail Price of Electricity in Industrial Sector, New England, Monthly"
1001,"Retail Price of Electricity in Industrial Sector, Pacific Contiguous, Monthly"
1002,"Retail Price of Electricity in Industrial Sector, South Atlantic, Monthly"
1003,"Retail Price of Electricity in Industrial Sector, U.S. Average, Monthly"
1004,"Retail Price of Electricity in Industrial Sector, West North Central, Monthly"
1005,"Retail Price of Electricity in Industrial Sector, West South Central, Monthly"
1006,"Retail price of electricity in residential sector, U.S. average, Monthly"
1007,"Real Retail Price of Electricity in Residential Sector, U.S. Average, Monthly"
1008,"Retail Price of Electricity in Residential Sector, East North Central, Monthly"
1009,"Retail Price of Electricity in Residential Sector, East South Central, Monthly"
1010,"Retail Price of Electricity in Residential Sector, Alaska and Hawaii, Monthly"
1011,"Net energy for electricity load, Central (SPP ISO), Monthly"
1012,"Wholesale Electricity Price, Florida index, Florida Reliability (FRCC) hub, Monthly"
1013,"Electric power sector net generation from coal, Southwest, Monthly"
1014,"Gabon Spare Crude Oil Production Capacity, Monthly"
1015,"Retail Price of Electricity in Residential Sector, Middle Atlantic, Monthly"
1016,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 3 (Gulf Coast), Quarterly"
1017,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 4 (Rocky Mountain), Quarterly"
1018,"Electric power sector net generation from geothermal, California, Monthly"
1019,"Electric power sector net generation from geothermal, Florida (FRCC), Monthly"
1020,"Electric power sector net generation from coal, New York (NYISO), Monthly"
1021,"United Arab Emirates Crude Oil Production Capacity, Monthly"
1022,"Iran Spare Crude Oil Production Capacity, Monthly"
1023,"Real Gross Domestic Product, Quarterly"
1024,"Real Gross Domestic Product, Quarterly"
1025,"Iran Crude Oil Production Capacity, Monthly"
1026,"Electric Power Sector Generation from Distillate Fuel Oil, Monthly"
1027,"Cost of Distillate Fuel Oil Delivered to Electric Generating Plants, Monthly"
1028,"Distillate Fuel Oil Stocks, Electric Power Sector, Monthly"
1029,"Diesel Fuel Retail Price Including Taxes, U.S. Average, Monthly"
1030,"Diesel fuel retail price incl taxes, U.S. average, Monthly"
1031,"Diesel Fuel Retail Real Prrice Incl Taxes, U.S. Average, Monthly"
1032,"Diesel Fuel Consumption, Monthly"
1033,"Diesel Fuel Refiner Wholesale Price, Monthly"
1034,"Total Non-Farm Employment E. N. Central, Monthly"
1035,"Total Non-Farm Employment E. S. Central, Monthly"
1036,"Total Non-Farm Employment Middle Atlantic, Monthly"
1037,"Total Non-Farm Employment Mountain, Monthly"
1038,"Total Non-Farm Employment New England, Monthly"
1039,"Total Non-Farm Employment Pacific, Monthly"
1040,"Total Non-Farm Employment S. Atlantic, Monthly"
1041,"Total Non-Farm Employment W. N. Central, Monthly"
1042,"Total Non-Farm Employment W. S. Central, Monthly"
1043,"Retail Sales of Electricity in Transportation Sector, East North Central, Monthly"
1044,"Retail Sales of Electricity in Transportation Sector, East South Central, Monthly"
1045,"Retail Sales of Electricity in Transportation Sector, Alaska and Hawaii, Monthly"
1046,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic, Monthly"
1047,"Retail Sales of Electricity in Transportation Sector, Mountain, Monthly"
1048,"Retail Sales of Electricity in Transportation Sector, New England, Monthly"
1049,"Retail Sales of Electricity in Transportation Sector, Pacific Contiguous, Monthly"
1050,"Retail Sales of Electricity in Transportation Sector, South Atlantic, Monthly"
1051,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Monthly"
1052,"Retail Sales of Electricity in Transportation Sector, West North Central, Monthly"
1053,"Retail Sales of Electricity in Transportation Sector, West South Central, Monthly"
1054,"Retail Sales of Electricity in Transportation Sector, U.S. Total, Monthly"
1055,"Retail Sales of Electricity in Commercial Sector, East North Central, Monthly"
1056,"Retail Sales of Electricity in Commercial Sector, East South Central, Monthly"
1057,"Retail Sales of Electricity in Commercial Sector, Alaska and Hawaii, Monthly"
1058,"Retail Sales of Electricity in Commercial Sector, Middle Atlantic, Monthly"
1059,"Retail Sales of Electricity in Commercial Sector, Mountain, Monthly"
1060,"Retail Sales of Electricity in Commercial Sector, New England, Monthly"
1061,"Retail Sales of Electricity in Commercial Sector, Pacific Contiguous, Monthly"
1062,"Retail Sales of Electricity in Commercial Sector, South Atlantic, Monthly"
1063,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Monthly"
1064,"Retail Sales of Electricity in Commercial Sector, West North Central, Monthly"
1065,"Retail Sales of Electricity in Commercial Sector, West South Central, Monthly"
1066,"Retail Sales of Electricity in Commercial Sector, U.S. Total, Monthly"
1067,"Total Consumption of Electricity in United States, Monthly"
1068,"Number of Residential Customers, East North Central, Monthly"
1069,"Number of Residential Customers, East South Central, Monthly"
1070,"Number of Residential Customers, Hawaii and Alaska, Monthly"
1071,"Number of Residential Customers, Middle Atlantic, Monthly"
1072,"Number of Residential Customers, Mountain, Monthly"
1073,"Number of Residential Customers, New England, Monthly"
1074,"Number of Residential Customers, Pacific Contiguous, Monthly"
1075,"Number of Residential Customers, South Atlantic, Monthly"
1076,"Number of Residential Customers, United States, Monthly"
1077,"Number of Residential Customers, West North Central, Monthly"
1078,"Number of Residential Customers, West South Central, Monthly"
1079,"Direct Use of Electricity by Commercial and Industrial Facilities, Monthly"
1080,"Total Direct Use of Electricity in United States, Monthly"
1081,"Net energy for electricity load, Midwest (Midcontinent ISO), Monthly"
1082,"Comm. and Indus. Sectors Conventional Hydroelectric Net Summer Capacity, Quarterly"
1083,"Industrial and commercial sector net generation from conventional hydropower, United States, Quarterly"
1084,"Commercial sector net generation from conventional hydropower, United States, Quarterly"
1085,"Net energy for electricity load, Southwest, Monthly"
1086,"Gross Exports of Electricity from the United States, Monthly"
1087,"Wholesale Electricity Price, MISO (Midcontinent ISO) Illinois hub, Monthly"
1088,"Wholesale Electricity Price, PJM RTO Western hub, Monthly"
1089,"Liquefied Petroleum Gas Product Supplied, Quarterly"
1090,"Retail Sales of Electricity in All Sectors, Pacific Contiguous, Quarterly"
1091,"Electric power sector net generation from pumped storage hydropower, Hawaii and Alaska, Quarterly"
1092,"Electric power sector net generation from pumped storage hydropower, Midwest (Midcontinent ISO), Quarterly"
1093,"Electric power sector net generation from pumped storage hydropower, New England (ISO-NE), Quarterly"
1094,"Unplanned crude oil production disruptions, Iran, Monthly"
1095,"Electric power sector net generation from petroleum, Florida (FRCC), Monthly"
1096,"Retail Sales of Electricity in Residential Sector, U.S. Total, Quarterly"
1097,"Electric Power Sector Generation from Geothermal, Quarterly"
1098,"Electric power sector net generation from pumped storage hydropower, Northwest, Quarterly"
1099,"Electric power sector net generation from pumped storage hydropower, New York (NYISO), Quarterly"
1100,"Electric power sector net generation from pumped storage hydropower, Mid-Atlantic (PJM), Quarterly"
1101,"Petrochemical Feedstocks Product Supplied, Quarterly"
1102,"Industrial Sector Consumption of Geothermal Energy, Quarterly"
1103,"Electric power sector net generation from conventional hydropower, United States, Quarterly"
1104,"Industrial Sector Total Generation, Quarterly"
1105,"Motor Gasoline Blend Comp. Adjustment, Quarterly"
1106,"Carbon Dioxide Emissions from Fossil Fuels, Quarterly"
1107,"Industrial sector net generation from pumped storage hydropower, United States, Quarterly"
1108,"Electric Power Sector Generation from Conventional Hydroelectric, Quarterly"
1109,"Motor Gasoline Blend Components Net Imports, Quarterly"
1110,"Retail Sales of Electricity in All Sectors, South Atlantic, Quarterly"
1111,"Net generation from pumped storage hydropower, all sectors, United States, Quarterly"
1112,"Industrial Output, Manufacturing, Mountain, Quarterly"
1113,"Electric Power Sector Generation from Petroleum Coke, Monthly"
1114,"Petroleum Coke Stocks, Electric Power Sector, Monthly"
1115,"Petroleum Coke Product Supplied, Monthly"
1116,"Natural Gasoline (Pentanes Plus) Production at Natural Gas Processing Plants, Monthly"
1117,"Natural Gasoline (Pentanes Plus)Net Imports, Monthly"
1118,"Natural Gasoline (Pentanes Plus) Renewable Fuels and Oxygenanted Plant Net Production, Monthly"
1119,"Natural Gasoline (Pentanes Plus)Inventory, Monthly"
1120,"Natural Gasoline (Pentanes Plus) Refinery and Blender Net  Input, Monthly"
1121,"Natural Gasoline (Pentanes Plus) Product Supplied, Monthly"
1122,"Propane Production at Natural Gas Processing Plants, Monthly"
1123,"U.S. Prime Lending Rate, Monthly"
1124,"Propane/Propylene Net Imports, Monthly"
1125,"Petroleum Product Net Inventory Withdrawals, Monthly"
1126,"Propane/Propylene PADD 1 (East Coast) Inventory, Monthly"
1127,"Propane/Propylene PADD 2 (Midwest) Inventory, Monthly"
1128,"Propane/Propylene PADD 3 (Gulf Coast) Inventory, Monthly"
1129,"Propane/Propylene PADD 4 (Rocky Mountain) Inventory, Monthly"
1130,"Propane/Propylene PADD 5 (West Coast) Inventory, Monthly"
1131,"Propane/Propylene Oil U.S. Total Inventory, Monthly"
1132,"Propane/Propylene Refinery and Blender Net Production, Monthly"
1133,"Propane/Propylene Product Supplied, Monthly"
1134,"Other Oils Net Imports, Monthly"
1135,"Other Oils Inventory, Monthly"
1136,"Other Oils Refinery Output, Monthly"
1137,"Other Oils Product Supplied, Monthly"
1138,"Households E. N. Central, Monthly"
1139,"Households E. S. Central, Monthly"
1140,"Households Middle Atlantic, Monthly"
1141,"Households Mountain, Monthly"
1142,"Households New England, Monthly"
1143,"Households Pacific, Monthly"
1144,"Households S. Atlantic, Monthly"
1145,"U.S. Households, Monthly"
1146,"Households W. N. Central, Monthly"
1147,"Households W. S. Central, Monthly"
1148,"Coal-weighted Industrial Production Index, Monthly"
1149,"Distillate-weighted Industrial Production Index, Monthly"
1150,"Distillate-weighted Industrial Production Index, Monthly"
1151,"Electricity-weighted Industrial Production Index, Monthly"
1152,"Natural Gas-weighted Industrial Production Index, Monthly"
1153,"Natural Gas-weighted Industrial Production Index, Monthly"
1154,"Refiner Average Crude Oil Acquisition Cost, Monthly"
1155,"Refiner Average Crude Oil Acquisition Cost, Monthly"
1156,"Imported  Crude Oil Price, Monthly"
1157,"Imported  Crude Oil Real Price, Monthly"
1158,"Liquefied Petroleum Gas Field Production, Quarterly"
1159,"Retail Sales of Electricity in Residential Sector, West North Central, Quarterly"
1160,"Retail Sales of Electricity in All Sectors, U.S. Total, Quarterly"
1161,"Electric power sector net generation from pumped storage hydropower, Southeast (SERC), Quarterly"
1162,"Electric power sector net generation from pumped storage hydropower, Central (SPP ISO), Quarterly"
1163,"Electric power sector net generation from pumped storage hydropower, Southwest, Quarterly"
1164,"Industrial Output, Manufacturing, New England, Quarterly"
1165,"Finished Motor Gasoline Adjustment, Quarterly"
1166,"Electric power sector net generation from petroleum, Midwest (Midcontinent ISO), Monthly"
1167,"Retail Sales of Electricity in Residential Sector, West South Central, Quarterly"
1168,"Industrial sector net generation from geothermal, United States, Quarterly"
1169,"Electric power sector net generation from pumped storage hydropower, Texas (ERCOT), Quarterly"
1170,"Nominal U.S. Dollar Index, 2015 Q1=100 (annual and quarterly data only), Quarterly"
1171,"Unplanned crude oil production disruptions, Iraq, Monthly"
1172,"Unplanned crude oil production disruptions, Kuwait, Monthly"
1173,"Residential Sector Consumption of Geothermal Energy, Quarterly"
1174,"Consumption of Geothermal Energy by All Sectors, Quarterly"
1175,"Industrial Output, Manufacturing, E. N. Central, Quarterly"
1176,"Gasoline Blending Components U.S. Total Inventory, Quarterly"
1177,"Nominal U.S. Dollar Exchange Rate, Percent Change From Prior Year, Quarterly"
1178,"Generation from Pumped Storage Hydropower by All Sectors, Quarterly"
1179,"Industrial Sector Consumption of Conventional Hydroelectric Energy, Quarterly"
1180,"Industrial sector net generation from conventional hydropower, United States, Quarterly"
1181,"Motor Gasoline Blend Components Refinery Input, Quarterly"
1182,"Retail Sales of Electricity in All Sectors, West North Central, Quarterly"
1183,"Housing Starts, Quarterly"
1184,"Industrial Output, Manufacturing, Pacific, Quarterly"
1185,"Renwable Diesel Net Imports, Monthly"
1186,"Renewable Diesel Production, Monthly"
1187,"Liquefied Petroleum Gas Net Imports, Quarterly"
1188,"Liquefied Petroleum Gas Inventory, Quarterly"
1189,"Retail Sales of Electricity in All Sectors, West South Central, Quarterly"
1190,"Electric power sector net generation from pumped storage hydropower, United States, Quarterly"
1191,"Industrial Output, Manufacturing, S. Atlantic, Quarterly"
1192,"Finished Motor Gasoline Net Imports, Quarterly"
1193,"Electric power sector net generation from petroleum, Hawaii and Alaska, Monthly"
1194,"Retail Sales of Electricity in All Sectors, U.S. Total, Quarterly"
1195,"Retail Sales of Electricity in All Sectors, East North Central, Quarterly"
1196,"Electric Power Sector Generation from Pumped Storage Hydroelectric, Quarterly"
1197,"Industrial Output, Manufacturing, E. S. Central, Quarterly"
1198,"Finished Motor Gasoline U.S. Total Inventory, Quarterly"
1199,"GDP Implicit Price Deflator, Quarterly"
1200,"Unplanned crude oil production disruptions, Libya, Monthly"
1201,"Unplanned liquid fuel production disruptions, Mexico, Monthly"
1202,"Net generation from geothermal, all sectors, United States, Quarterly"
1203,"Generation from Geothermal by All Sectors, Quarterly"
1204,"Industrial Output, Manufacturing, Middle Atlantic, Quarterly"
1205,"Gasoline All Grades Retail Price Including Taxes U.S. Average, Quarterly"
1206,"GDP Implicit Price Deflator, Quarterly"
1207,"Commercial Sector Consumption of Conventional Hydroelectric Energy, Quarterly"
1208,"Jet Fuel Refiner Price to End Users, Quarterly"
1209,"Consumption of Conventional Hydroelectric Power Energy by All Sectors, Quarterly"
1210,"Net generation from conventional hydropower, all sectors, United States, Quarterly"
1211,"Retail Sales of Electricity in All Sectors, Middle Atlantic, Quarterly"
1212,"Commercial Sector Generation from Conventional Hydropower, Quarterly"
1213,"Industrial Output, Manufacturing, W. N. Central, Quarterly"
1214,"Retail Sales of Electricity in Residential Sector, New England, Quarterly"
1215,"Retail Sales of Electricity in Residential Sector, Pacific Contiguous, Quarterly"
1216,"Liquefied Petroleum Gas Refinery Input, Quarterly"
1217,"Liquefied Petroleum Gas Refinery Output, Quarterly"
1218,"Retail Sales of Electricity in All Sectors, Mountain, Quarterly"
1219,"Hydrogen and Other Hydrocarbons Refinery and Blender Net Inputs, Quarterly"
1220,"Industrial Output, Manufacturing, W. S. Central, Quarterly"
1221,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 1 (East Coast), Quarterly"
1222,"Electric power sector net generation from geothermal, Central (SPP ISO), Quarterly"
1223,"Electric power sector net generation from geothermal, Southwest, Quarterly"
1224,"Electric power sector net generation from geothermal, Texas (ERCOT), Quarterly"
1225,"Electric power sector net generation from geothermal, United States, Quarterly"
1226,"Retail Sales of Electricity in All Sectors, East South Central, Quarterly"
1227,"Retail Sales of Electricity in All Sectors, Alaska and Hawaii, Quarterly"
1228,"Commercial sector net generation from pumped storage hydropower, United States, Quarterly"
1229,"Electric power sector net generation from pumped storage hydropower, California, Quarterly"
1230,"Electric power sector net generation from pumped storage hydropower, Florida (FRCC), Quarterly"
1231,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 2 (Midwest), Quarterly"
1232,"Electric power sector net generation from conventional hydropower, Central (SPP ISO), Quarterly"
1233,"Electric power sector net generation from conventional hydropower, Southwest, Quarterly"
1234,"Electric power sector net generation from conventional hydropower, Texas (ERCOT), Quarterly"
1235,"Housing Stock, including mobile homes, Quarterly"
1236,"Real U.S. Government Expenditures, Quarterly"
1237,"Hydrogen and Other Hydrocarbons Adjustments, Quarterly"
1238,"Hydrogen and Other Hydrocarbons Net Imports, Quarterly"
1239,"Real Private Fixed Investment, Quarterly"
1240,"Business Inventory Change, Quarterly"
1241,"Retail Sales of Electricity in Residential Sector, South Atlantic, Quarterly"
1242,"Generation from Conventional Hydropower by All Sectors, Quarterly"
1243,"Propane and Heavier Liquefied Petroleum Gas Product Supplied, Quarterly"
1244,"Retail Sales of Electricity in All Sectors, New England, Quarterly"
1245,"Unplanned liquid fuel production disruptions, Indonesia, Monthly"
1246,"Industrial sector net generation from pumped storage hydropower, United States, Annual"
1247,"Net generation from pumped storage hydropower, all sectors, United States, Annual"
1248,"Generation from Pumped Storage Hydropower by All Sectors, Annual"
1249,"Housing Starts, Annual"
1250,"Commercial Sector Consumption of Conventional Hydroelectric Energy, Annual"
